name,latitude,longitude,free_bikes,empty_slots,total_bike_cap,uid,renting,returning,last_updated,has_ebikes,ebikes,payment,payment-terminal,slots,rental_uris.android,rental_uris.ios
Fairfax Dr & Wilson Blvd,38.885801,-77.097745,5,6,11,08251ded-1f3f-11e7-bf6b-3863bb334450,1,1,1729395530,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
South St & University Dr,38.844249,-77.305336,11,1,12,1877158937567185816,1,1,1729395487,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
White Oak Rec Center,39.0461435,-76.9757228,6,9,15,2213781a-5c69-43eb-9b33-346d61e7e1ba,1,1,1729395477,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,1,14,15,08254529-1f3f-11e7-bf6b-3863bb334450,1,1,1729395578,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Fenton St & Gist Ave,38.989724,-77.023854,6,5,11,0825ac97-1f3f-11e7-bf6b-3863bb334450,1,1,1729395538,True,5,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Golf Course Sq and Golf Course Dr,38.944013,-77.353552,1,10,11,13c42471-96ab-441d-9a4c-bc57f7af6f9b,1,1,1729395546,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Barcroft Community Center,38.85033657788445,-77.1009886264801,10,0,10,08251c45-1f3f-11e7-bf6b-3863bb334450,1,1,1729395480,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Pimmit Dr & Los Pueblos Ln,38.900371,-77.205428,3,9,12,39d08937-66b3-4fd8-89d0-49e5144f1922,1,1,1729395480,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Jefferson Memorial,38.879819,-77.037413,3,18,21,082527e7-1f3f-11e7-bf6b-3863bb334450,1,1,1729395552,True,1,"['key', 'creditcard']",True,23,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
New Hampshire Ave & Ward Pl NW,38.90571079190728,-77.0473176240921,15,3,18,082492e1-1f3f-11e7-bf6b-3863bb334450,1,1,1729395544,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Maple & Ritchie Ave,38.983627,-77.006311,18,1,19,08258785-1f3f-11e7-bf6b-3863bb334450,1,1,1729395460,True,1,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Reston Pkwy & Bennington Woods Rd,38.973625,-77.351837,1,11,12,a0121df5-4df5-425f-afb8-77dc94dc6d1b,1,1,1729395526,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
N Howard St & N Imboden St,38.818509,-77.105564,7,7,14,5e229707-ae42-42f7-b31d-1a65af253027,1,1,1729395462,True,7,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wheeler Ave & S. Floyd St.,38.808161,-77.100796,10,1,11,8e3245e2-f310-4173-9c2d-9ad00587a23c,1,1,1729395515,True,3,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Market Square / King St & Royal St,38.804718,-77.043363,14,1,15,082539e0-1f3f-11e7-bf6b-3863bb334450,1,1,1729395457,True,4,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Westpark & Jones Branch Dr,38.924437,-77.217664,2,9,11,0826366d-1f3f-11e7-bf6b-3863bb334450,1,1,1729395490,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wilson Blvd & N Illinois St ,38.876528,-77.12712,4,9,13,082600d8-1f3f-11e7-bf6b-3863bb334450,1,1,1729395544,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Temporary Rd & Old Reston Ave,38.960084,-77.353414,0,11,11,08263d19-1f3f-11e7-bf6b-3863bb334450,1,1,1729395537,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Georgia Ave & Emerson St NW,38.949662,-77.027333,5,13,18,082548ce-1f3f-11e7-bf6b-3863bb334450,1,1,1729395474,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Carlin Springs Rd & N Thomas St,38.876695,-77.112982,0,15,15,08264392-1f3f-11e7-bf6b-3863bb334450,1,1,1729395550,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Hilltop Rd & Willowmere Dr ,38.876903,-77.241518,4,6,10,1957750905852681124,1,1,1729395567,True,1,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Adams Mill & Columbia Rd NW,38.9228491613136,-77.04252451658249,5,9,14,08247632-1f3f-11e7-bf6b-3863bb334450,1,1,1729395557,True,2,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
W Columbia St & N Washington St,38.885621,-77.166917,11,1,12,33efb11b-052f-437e-ab74-2e6b4661822d,1,1,1729395475,True,6,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
The Shoppes @ Burnt Mills,39.0313141,-77.0041217,16,3,19,44b6aaca-6a97-425c-9d95-93a1d836c22d,1,1,1729395553,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
D St & Maryland Ave NE,38.89484064247075,-76.99591577053069,6,12,18,0824a703-1f3f-11e7-bf6b-3863bb334450,1,1,1729395494,True,1,"['key', 'creditcard']",True,23,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Grandview & Blueridge Ave,39.043272,-77.053085,8,7,15,08265262-1f3f-11e7-bf6b-3863bb334450,1,1,1729395517,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Potomac Greens Dr & Slaters Ln,38.82175,-77.047494,10,1,11,0825f807-1f3f-11e7-bf6b-3863bb334450,1,1,1729395478,True,7,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Columbia Pike & S Orme St,38.867262,-77.072315,0,10,10,082569e6-1f3f-11e7-bf6b-3863bb334450,1,1,1729395490,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Olde Crafts Dr and Cartwright Pl,38.938797,-77.354067,10,1,11,bc4fc3e2-2050-4571-851b-47f062319f95,1,1,1729395543,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Columbia Pike & W&OD Trail ,38.856645,-77.109609,9,8,17,1959879531637832180,1,1,1729395523,True,0,"['key', 'creditcard']",True,17,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Maine Ave & Water St SW,38.87674677186661,-77.02094480395317,7,11,18,a41e5bd2-b599-4c47-a36f-31ffa2e2dd0b,1,1,1729395524,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
University Dr & Democracy Ln,38.849411,-77.304435,3,8,11,1875304680551764838,1,1,1729395536,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Metro Park Dr & Walker Ln ,38.76843,-77.156504,4,8,12,1957669092295526720,1,1,1729395541,True,2,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wilson Blvd & N Oak St,38.895068,-77.07386,5,11,16,83c9bc80-bc42-4e5d-9f5e-6c24812e6e37,1,1,1729395573,True,0,"['key', 'creditcard']",True,17,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Park Rd & Holmead Pl NW,38.9308,-77.0315,11,21,32,08247e59-1f3f-11e7-bf6b-3863bb334450,1,1,1729395562,True,10,"['key', 'creditcard']",True,35,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
MLK & Marion Barry Ave SE,38.867373,-76.988039,7,3,10,0824821f-1f3f-11e7-bf6b-3863bb334450,1,1,1729395556,True,1,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Offutt Ln & Chevy Chase Dr,38.977093,-77.094589,5,6,11,0825b2e7-1f3f-11e7-bf6b-3863bb334450,1,1,1729395540,True,1,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Reston Station Blvd & Sunset Hills Rd,38.946735,-77.331008,1,10,11,3c6a1bf0-3aac-4406-990d-966cc8edca52,1,1,1729395547,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
South Lakes Dr and Reston Pkwy,38.94335,-77.362304,8,4,12,d3cf2811-ca2e-4d2c-9843-8a90049b7b80,1,1,1729395574,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Glade Dr & Pinecrest Rd/Cathy Hudgins Cmty Ctr,38.941496,-77.366499,3,9,12,9c8b35b2-fcab-4142-957d-5bb845374685,1,1,1729395489,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Langston Blvd & N Cleveland St,38.894941,-77.09169,4,11,15,0825f4f2-1f3f-11e7-bf6b-3863bb334450,1,1,1729395471,True,2,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Connecticut Ave & McKinley St NW,38.96454350924588,-77.07513481378555,12,7,19,0825fbd3-1f3f-11e7-bf6b-3863bb334450,1,1,1729395544,True,2,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Rockville Metro West,39.084379,-77.146866,0,19,19,0825f1f7-1f3f-11e7-bf6b-3863bb334450,1,1,1729395571,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Bowdoin Ave & Calvert Rd/ College Park Station,38.978103,-76.928879,0,11,11,2004427045420044368,1,1,1729395568,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Fairfax Dr & N Taylor St,38.882425,-77.112754,2,9,11,8dfb34e2-7f75-4359-a374-5bf5e86c4793,1,1,1729395469,True,1,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Arlington Blvd & S George Mason Dr,38.869442,-77.104503,3,12,15,0825f58d-1f3f-11e7-bf6b-3863bb334450,1,1,1729395494,True,2,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Veterans Pl & Pershing Dr ,38.997445,-77.023894,2,9,11,0825e0a1-1f3f-11e7-bf6b-3863bb334450,1,1,1729395531,True,2,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Connecticut Ave & Chevy Chase Lake Dr,38.994113,-77.076986,8,7,15,08261407-1f3f-11e7-bf6b-3863bb334450,1,1,1729395502,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Hartland Rd & Harte Pl,38.878601,-77.222808,8,3,11,c271d265-76c8-49f9-9b3c-b9490fb97ac0,1,1,1729395555,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Congress Heights Metro,38.844711,-76.987823,0,15,15,08251aba-1f3f-11e7-bf6b-3863bb334450,1,1,1729395522,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Founders Row/W Broad St & West St,38.8901554,-77.183178,6,5,11,37ea9197-6332-4bf7-8940-d3641f288869,1,1,1729395559,True,1,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
W&OD Trail/Sunset Hills Rd & Old Reston Ave,38.955079,-77.351649,4,10,14,082639c8-1f3f-11e7-bf6b-3863bb334450,1,1,1729395461,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
George Mason Dr & Wilson Blvd,38.87887,-77.1207,2,12,14,08252387-1f3f-11e7-bf6b-3863bb334450,1,1,1729395537,True,2,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555,14,1,15,08254dee-1f3f-11e7-bf6b-3863bb334450,1,1,1729395503,True,2,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,38.984691,-77.094537,4,7,11,0825f2b1-1f3f-11e7-bf6b-3863bb334450,1,1,1729395568,True,2,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Gatehouse Rd & Telestar Ct,38.868536,-77.225262,3,7,10,523db239-4cfe-4d84-b8ff-60f1ad4d342c,1,1,1729395509,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Roosevelt Center & Crescent Rd,39.00031,-76.878005,8,7,15,6922a398-ec20-493d-a832-5e337cf335f5,1,1,1729395541,True,2,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wisconsin Ave & Rodman St NW,38.939674172021654,-77.07527697086334,0,23,23,c7402dc0-b498-47b0-8977-2b9d671a62bb,1,1,1729395536,True,0,"['key', 'creditcard']",True,23,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wilson Blvd & N Quincy St,38.880012,-77.107854,5,9,14,08252a00-1f3f-11e7-bf6b-3863bb334450,1,1,1729395486,True,1,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Minnesota Ave Metro/DOES,38.897063,-76.947446,7,7,14,0824806c-1f3f-11e7-bf6b-3863bb334450,1,1,1729395558,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998,1,18,19,08258b3f-1f3f-11e7-bf6b-3863bb334450,1,1,1729395557,True,1,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541,10,4,14,0825f946-1f3f-11e7-bf6b-3863bb334450,1,1,1729395495,True,2,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
American University East Campus,38.936298,-77.087128,0,18,18,ad6ec1ce-db22-47c1-acf3-507897d40725,1,1,1729395559,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Eastern Market Metro,38.884181,-76.995358,12,17,29,1996328198078007666,1,1,1729395579,True,0,"['key', 'creditcard']",True,32,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Washington & Independence Ave SW/HHS,38.886978,-77.013769,16,14,30,08256e11-1f3f-11e7-bf6b-3863bb334450,1,1,1729395575,True,0,"['key', 'creditcard']",True,31,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
George Mason Blvd & Armstrong St,38.841099,-77.30718,10,2,12,1874574408754907832,1,1,1729395479,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wilson Blvd & N Troy St,38.892556,-77.082089,0,15,15,d39e9b29-0ba7-453f-9f1e-b0a856d448b7,1,1,1729395500,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
John McCormack Rd & Michigan Ave NE,38.9346,-76.9955,0,10,10,08247cac-1f3f-11e7-bf6b-3863bb334450,1,1,1729395489,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
New Hampshire & Gallatin St NW,38.951596,-77.012808,4,15,19,89263cc9-13f6-4185-b315-5164c9bb930e,1,1,1729395529,True,1,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Columbia Rd & Georgia Ave NW,38.92812111132096,-77.0237946510315,2,22,24,0825164b-1f3f-11e7-bf6b-3863bb334450,1,1,1729395574,True,2,"['key', 'creditcard']",True,27,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Langston Blvd & N Woodstock St,38.898301,-77.118009,7,11,18,082614e4-1f3f-11e7-bf6b-3863bb334450,1,1,1729395574,True,6,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Washington-Liberty High School / N Stafford St & Generals Way,38.888282,-77.111066,3,12,15,32a59636-02e5-4c53-a437-020986923dca,1,1,1729395570,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Powhatan St & Bashford Ln,38.818748,-77.047783,11,3,14,082630e2-1f3f-11e7-bf6b-3863bb334450,1,1,1729395537,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Vantage Hill Rd & Wainwright Dr,38.9667,-77.348487,2,10,12,8d68e4db-0bc9-440a-9b27-5d34ed1b93c9,1,1,1729395517,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Beech Dr at Draper Dr Park,38.866659,-77.282077,6,6,12,1871684492868499562,1,1,1729395561,True,1,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
